experiment,dataset,cell,RMSE,MAE,MAPE (%),R2,MaxE
E01_baseline_reproduction,NASA,B0018,0.02714255888971872,0.022275179624557495,2.6646289841896866,0.8935176545128617,0.10216200351715088
E01_baseline_reproduction,NASA,B0032,0.01191462333411073,0.010509567383008126,1.0301572661172056,0.901642076561727,0.02371281385421753
E01_baseline_reproduction,NASA,B0053_test,0.011285005562583175,0.009508807212114334,0.9863692748073045,0.8143894680536787,0.021953821182250977
E01_baseline_reproduction,NASA,MACRO_AVG,0.016780729262137542,0.014097851406559983,1.5603851750380657,0.8698497330427558,0.04927621285120646
