experiment,dataset,cell,RMSE,MAE,MAPE (%),R2,MaxE
E01_baseline_reproduction,NASA,B0018,0.02714255888971872,0.022275179624557495,2.6646289841896866,0.8935176545128617,0.10216200351715088
E01_baseline_reproduction,NASA,B0032,0.01191462333411073,0.010509567383008126,1.0301572661172056,0.901642076561727,0.02371281385421753
E01_baseline_reproduction,NASA,B0053_test,0.011285005562583175,0.009508807212114334,0.9863692748073045,0.8143894680536787,0.021953821182250977
E01_baseline_reproduction,NASA,MACRO_AVG,0.016780729262137542,0.014097851406559983,1.5603851750380657,0.8698497330427558,0.04927621285120646
E01_baseline_reproduction,CALCE,CS2_35,0.2933455988770204,0.24147154602476142,42.56209316322712,-2.070471559094955,0.8028775602579117
E01_baseline_reproduction,CALCE,CS2_36,0.3730861512931822,0.2937369563978566,77.27466713929705,-1.567203744218491,0.8379605263471603
E01_baseline_reproduction,CALCE,CS2_37,0.3483337111418035,0.28034736592912307,65.72572055216678,-1.7764231323516135,0.8283756971359253
E01_baseline_reproduction,CALCE,CS2_38,0.30610349713089546,0.2524183843775493,45.92684610276458,-2.114724177668469,0.8343575298786163
E01_baseline_reproduction,CALCE,MACRO_AVG,0.33021723961072535,0.2669935631823226,57.87233173936388,-1.8822056533333822,0.8258928284049034
E01_baseline_reproduction,CALCE,POOLED,0.3325178770041347,0.26758788677013934,58.17942786437909,-1.7886917957530613,0.8379605263471603
