cell,SEI_RMSE,Plating_RMSE,Combined_RMSE,SEI_MAE,Plating_MAE,Combined_MAE,SEI_R2,Plating_R2,Combined_R2,Best_Condition
B0018,0.023582842766599728,0.025807996039188236,0.01820673259770536,0.017280621059013134,0.018884966319257564,0.01258469982580705,0.919616235297186,0.9037314128651888,0.9520884679021151,Combined
B0032,0.05594032401248281,0.03187451746942513,0.024104196391109025,0.0510483002051329,0.028772155443827312,0.020668285015301827,-1.1681966636630308,0.29605949618048366,0.5974368376785986,Combined
B0053_test,0.019381896960439952,0.017068377574541983,0.022217699948419954,0.016218196600675583,0.014851633459329605,0.018446583300828934,0.4524905477838381,0.5753965258150513,0.28055556929817305,Plating-only
MACRO_AVG,0.032968354579840826,0.024916963694385116,0.021509542979078117,0.028182372621607207,0.020836251740804824,0.017233189380645938,0.06797003980599776,0.5917291449535745,0.6100269582929623,Combined
