cell,Raw_RMSE,Physics_RMSE,RMSE_Diff (Physics - Raw),RMSE_Improvement_%,Raw_MAE,Physics_MAE,MAE_Diff (Physics - Raw),MAE_Improvement_%,Raw_R2,Physics_R2,R2_Gain
B0018,0.02310790667791261,0.02714255888971872,0.0040346522118061105,-17.46005065730415,0.019037676128474148,0.022275179624557495,0.0032375034960833472,-17.00577042195344,0.9228213387166408,0.8935176545128617,-0.029303684203779157
B0032,0.018275166344108296,0.01191462333411073,-0.006360543009997567,34.80429611546673,0.0162623127301534,0.010509567383008126,-0.005752745347145274,35.37470618480112,0.7685957163645933,0.901642076561727,0.13304636019713367
B0053_test,0.018933854393155206,0.011285005562583175,-0.007648848830572031,40.39773768059172,0.015868667513132095,0.009508807212114334,-0.006359860301017761,40.078099158323575,0.4775110304754707,0.8143894680536787,0.336878437578208
MACRO_AVG,0.02010564247172537,0.016780729262137542,-0.0033249132095878285,16.537214437507604,0.01705621879058655,0.014097851406559983,-0.0029583673840265657,17.34480203583757,0.7229760285189016,0.8698497330427558,0.14687370452385418
