cell,Classical_RMSE,Quantum_RMSE,Classical_MAE,Quantum_MAE,Classical_R2,Quantum_R2,Winner
B0018,0.029622495307190105,0.018206483671098818,0.024183456644867405,0.012584382837468927,0.8731707833898409,0.9520897780079789,Quantum
B0032,0.05294686091605326,0.024104042653269625,0.04613670324667906,0.02066810314471905,-0.9423574279677898,0.5974419728005025,Quantum
B0053_test,0.04662254393361224,0.022218003169328482,0.04273087903857231,0.018446721136569977,-2.168042463940231,0.2805359316144299,Quantum
MACRO_AVG,0.04306396671895187,0.021509509831232305,0.03768367964337293,0.017233069039585984,-0.7457430361727266,0.6100225608076371,Quantum
